Frequency_Hz	Magnitude_Ohms	Phase_Degrees
367.3898	3.702885	11.52473
368.1854	3.917963	11.94614
368.9811	4.171942	12.40313
369.7767	4.430278	12.87219
370.5724	4.747	13.35556
371.368	5.127485	13.87378
372.1637	5.540207	14.43168
372.9593	5.959118	15.01248
373.7549	6.480222	15.5903
374.5506	7.131712	16.23085
375.3462	7.814433	16.93357
376.1419	8.613892	17.63475
376.9375	9.572554	18.31712
377.7332	10.70455	18.99686
378.5288	11.99461	19.61904
379.3245	13.45515	20.27829
380.1201	15.14028	20.93987
380.9158	17.30152	21.22436
381.7114	19.95765	21.37239
382.5071	22.69861	21.15684
383.3027	25.82491	20.13825
384.0984	29.24508	18.99506
384.894	32.34215	17.33457
385.6896	34.76336	13.60245
386.4853	36.9221	8.295586
387.2809	37.71381	3.222351
388.0766	36.17288	-1.176493
388.8722	34.0534	-6.0159
389.6679	32.09836	-10.06007
390.4635	30.37219	-11.5355
391.2592	26.84579	-12.51295
392.0548	22.44591	-13.77381
392.8505	19.62154	-14.83514
393.6461	17.19991	-14.90605
394.4418	15.20563	-14.08483
395.2374	13.69424	-13.4232
396.0331	11.88167	-12.73798
396.8287	10.7128	-11.88527
397.6243	9.594142	-10.82716
398.42	7.819914	-10.108
399.2156	7.311677	-9.698266
400.0113	7.109535	-9.275218
400.8069	6.656911	-8.48751
401.6026	5.876472	-7.739383
402.3982	5.275723	-7.38845
403.1939	4.989396	-6.617969
403.9895	4.783332	-5.861485
404.7852	4.226966	-5.452427
405.5808	3.936435	-5.163437
406.3765	4.142731	-4.715391
407.1721	3.926473	-3.985344
407.9677	3.391144	-3.491729
408.7634	3.224367	-3.228119
409.559	3.253375	-2.811442
410.3547	3.14476	-2.428816
411.1503	2.880303	-2.129418
411.946	2.748232	-1.828665
412.7416	2.735296	-1.399469
413.5373	2.563625	-1.131903
414.3329	2.453557	-0.8977311
415.1286	2.624448	-0.5939049
415.9242	2.58258	-0.191201
416.7199	2.458943	0.2003629
417.5155	2.438407	0.4528313
418.3112	2.346667	0.8339985
419.1068	2.253614	1.159376
419.9024	2.122633	1.288413
420.6981	2.075429	1.470311
421.4937	2.166102	1.800769
422.2894	2.134146	2.015423
423.085	2.118202	2.3049
423.8807	2.213091	2.587866
424.6763	2.205302	2.920742
425.472	2.164678	3.160556
426.2676	2.098471	3.299293
427.0633	2.203855	3.574038
427.8589	2.241668	3.886062
428.6546	2.219605	4.23601
429.4502	2.237813	4.413635
430.2459	2.211483	4.58823
431.0415	2.23478	4.923096
431.8371	2.336522	5.242965
432.6328	2.333989	5.483533
433.4284	2.375568	5.717538
434.2241	2.352381	5.963113
435.0197	2.446778	6.339463
435.8154	2.590802	6.555004
436.611	2.558612	6.826792
437.4067	2.637459	7.161115
438.2023	2.717241	7.455197
438.998	2.857076	7.791466
439.7936	2.967683	8.044152
440.5893	3.011712	8.361196
441.3849	3.135208	8.701701
442.1805	3.256185	9.009528
442.9762	3.338739	9.339043
443.7718	3.468087	9.717438
444.5675	3.649852	10.07324
445.3631	3.808804	10.47329
446.1588	4.040846	10.92797
446.9544	4.241194	11.30437
447.7501	4.451307	11.72573
448.5457	4.715992	12.22675
449.3414	4.987182	12.72186
450.137	5.332021	13.17801
450.9327	5.762779	13.69693
451.7283	6.16205	14.15558
452.524	6.558853	14.73132
453.3196	7.131442	15.42136
454.1152	7.706137	15.9885
454.9109	8.454592	16.62285
455.7065	9.400539	17.22138
456.5022	10.07023	17.70272
457.2978	10.85976	18.60776
458.0935	12.37289	19.56746
458.8891	13.95419	19.78409
459.6848	15.61424	20.09358
460.4804	16.92063	20.28231
461.2761	18.46513	20.76394
462.0717	21.64462	20.96367
462.8674	25.00194	20.00119
463.663	27.47666	18.11049
464.4587	29.26586	16.89162
465.2543	32.45539	15.34984
466.0499	36.24466	12.57351
466.8456	38.64681	7.112869
467.6412	36.90849	1.776007
468.4369	35.80794	-0.4985416
469.2325	35.7422	-3.116329
470.0282	34.41496	-7.17978
470.8238	31.12771	-11.7237
471.6195	26.61519	-14.31345
472.4151	22.87328	-14.14695
473.2108	21.24253	-13.19099
474.0064	20.27231	-13.85415
474.8021	18.16993	-14.76429
475.5977	15.02012	-14.31278
476.3933	12.74624	-12.77655
477.189	11.94252	-11.79559
477.9846	11.13339	-11.29062
478.7803	10.12405	-11.2002
479.5759	9.076936	-10.7283
480.3716	8.096054	-9.947034
481.1672	7.255964	-9.068463
481.9629	6.801579	-8.197177
482.7585	6.334878	-7.502544
483.5542	6.120751	-6.886819
484.3498	5.818987	-6.702131
485.1455	5.281201	-6.339336
485.9411	4.864223	-5.646573
486.7368	4.539076	-4.914451
